Date,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner,home_team_rank,home_team_points,home_team_previous_points,away_team_rank,away_team_points,away_team_previous_points,Home Team Champion,Away Team Champion
1962-06-10,Czechoslovakia,1.0,0.0,Hungary,1,64,24.0,24.0,36.0,1492.2,1486.76,0.0,0.0
1962-06-10,Czechoslovakia,1.0,0.0,Hungary,1,64,24.0,24.0,36.0,1492.2,1486.76,0.0,0.0
1962-06-10,Yugoslavia,1.0,0.0,Germany,1,6,64.0,64.0,11.0,1650.21,1658.96,0.0,4.0
1962-06-10,Yugoslavia,1.0,0.0,Germany,1,6,64.0,64.0,11.0,1650.21,1658.96,0.0,4.0
1962-06-13,Czechoslovakia,3.0,1.0,Yugoslavia,1,64,24.0,24.0,6.0,64.0,64.0,0.0,0.0
1962-06-13,Czechoslovakia,3.0,1.0,Yugoslavia,1,64,24.0,24.0,6.0,64.0,64.0,0.0,0.0
1962-06-13,Czechoslovakia,3.0,1.0,Yugoslavia,1,64,24.0,24.0,6.0,64.0,64.0,0.0,0.0
1962-06-13,Czechoslovakia,3.0,1.0,Yugoslavia,1,64,24.0,24.0,6.0,64.0,64.0,0.0,0.0
1962-06-13,Brazil,4.0,2.0,Chile,1,1,1841.3,1837.56,29.0,1509.61,1514.86,5.0,0.0
1962-06-16,Chile,1.0,0.0,Yugoslavia,1,29,1509.61,1514.86,6.0,64.0,64.0,0.0,0.0
1962-06-16,Chile,1.0,0.0,Yugoslavia,1,29,1509.61,1514.86,6.0,64.0,64.0,0.0,0.0
1962-06-17,Brazil,3.0,1.0,Czechoslovakia,1,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1962-06-17,Brazil,3.0,1.0,Czechoslovakia,1,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1966-07-11,England,0.0,0.0,Uruguay,0,5,1728.47,1737.46,14.0,1638.71,1640.95,1.0,2.0
1966-07-12,Germany,5.0,0.0,Switzerland,1,11,1650.21,1658.96,15.0,1635.92,1621.43,4.0,0.0
1966-07-12,Brazil,2.0,0.0,Bulgaria,1,1,1841.3,1837.56,72.0,1335.36,1325.16,5.0,0.0
1966-07-12,Russia,3.0,0.0,Korea DPR,1,33,1496.11,1493.42,112.0,1169.96,1169.96,0.0,0.0
